"","rr_id","data","displayed_rr","device"
"2","680b826eae0b49d4a36548f3d44ed0a1","1374097160823","5","2D26ECBB-0CDF-40F0-A580-7DA58F3FD9EC"
"3","680b826eae0b49d4a36548f3d44ed0a1","1374097169440","5","2D26ECBB-0CDF-40F0-A580-7DA58F3FD9EC"
"4","680b826eae0b49d4a36548f3d44ed0a1","1374097175738","5","2D26ECBB-0CDF-40F0-A580-7DA58F3FD9EC"
"5","680b826eae0b49d4a36548f3d44ed0a1","1374097205983","5","2D26ECBB-0CDF-40F0-A580-7DA58F3FD9EC"
"6","680b826eae0b49d4a36548f3d44ed0a1","1374097213437","5","2D26ECBB-0CDF-40F0-A580-7DA58F3FD9EC"
"7","0ca245a607a04a62bd8afd2d8af0a902","1374654361642","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"8","0ca245a607a04a62bd8afd2d8af0a902","1374654369169","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"9","0ca245a607a04a62bd8afd2d8af0a902","1374654384452","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"10","0ca245a607a04a62bd8afd2d8af0a902","1374654386643","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"11","0ca245a607a04a62bd8afd2d8af0a902","1374654387684","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"12","0ca245a607a04a62bd8afd2d8af0a902","1374654388692","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"13","0ca245a607a04a62bd8afd2d8af0a902","1374654396037","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"14","0ca245a607a04a62bd8afd2d8af0a902","1374654397109","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"15","0ca245a607a04a62bd8afd2d8af0a902","1374654398036","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"16","0ca245a607a04a62bd8afd2d8af0a902","1374654408533","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"17","0ca245a607a04a62bd8afd2d8af0a902","1374654417863","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"18","0ca245a607a04a62bd8afd2d8af0a902","1374654420374","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"19","0ca245a607a04a62bd8afd2d8af0a902","1374654421588","13","F9B29C59-21FE-4C02-BCFD-292C019805A8"
"20","25229c3ff1dc428db8f8d17a1a1f993d","1374636661944","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"21","25229c3ff1dc428db8f8d17a1a1f993d","1374636664280","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"22","25229c3ff1dc428db8f8d17a1a1f993d","1374636666411","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"23","25229c3ff1dc428db8f8d17a1a1f993d","1374636668721","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"24","25229c3ff1dc428db8f8d17a1a1f993d","1374636670418","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"25","25229c3ff1dc428db8f8d17a1a1f993d","1374636672514","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"26","25229c3ff1dc428db8f8d17a1a1f993d","1374636675051","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"27","25229c3ff1dc428db8f8d17a1a1f993d","1374636677313","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"28","25229c3ff1dc428db8f8d17a1a1f993d","1374636679377","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"29","25229c3ff1dc428db8f8d17a1a1f993d","1374636681561","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"30","25229c3ff1dc428db8f8d17a1a1f993d","1374636683870","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"31","25229c3ff1dc428db8f8d17a1a1f993d","1374636685870","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"32","25229c3ff1dc428db8f8d17a1a1f993d","1374636687902","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"33","25229c3ff1dc428db8f8d17a1a1f993d","1374636689806","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"34","25229c3ff1dc428db8f8d17a1a1f993d","1374636691952","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"35","25229c3ff1dc428db8f8d17a1a1f993d","1374636694124","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"36","25229c3ff1dc428db8f8d17a1a1f993d","1374636696203","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"37","25229c3ff1dc428db8f8d17a1a1f993d","1374636698106","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"38","25229c3ff1dc428db8f8d17a1a1f993d","1374636699898","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"39","25229c3ff1dc428db8f8d17a1a1f993d","1374636702065","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"40","25229c3ff1dc428db8f8d17a1a1f993d","1374636704145","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"41","25229c3ff1dc428db8f8d17a1a1f993d","1374636706423","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"42","25229c3ff1dc428db8f8d17a1a1f993d","1374636708454","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"43","25229c3ff1dc428db8f8d17a1a1f993d","1374636710502","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"44","25229c3ff1dc428db8f8d17a1a1f993d","1374636712614","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"45","25229c3ff1dc428db8f8d17a1a1f993d","1374636714801","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"46","25229c3ff1dc428db8f8d17a1a1f993d","1374636716816","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"47","25229c3ff1dc428db8f8d17a1a1f993d","1374636718816","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"48","25229c3ff1dc428db8f8d17a1a1f993d","1374636721109","29","8FCC4C6E-85B0-46B8-A38A-E0A948D89408"
"49","0da95a8216a24ae28b272f3785c1f881","1374675795957","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"50","0da95a8216a24ae28b272f3785c1f881","1374675797224","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"51","0da95a8216a24ae28b272f3785c1f881","1374675801324","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"52","0da95a8216a24ae28b272f3785c1f881","1374675804257","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"53","0da95a8216a24ae28b272f3785c1f881","1374675807057","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"54","0da95a8216a24ae28b272f3785c1f881","1374675810691","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"55","0da95a8216a24ae28b272f3785c1f881","1374675814257","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"56","0da95a8216a24ae28b272f3785c1f881","1374675817357","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"57","0da95a8216a24ae28b272f3785c1f881","1374675819974","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"58","0da95a8216a24ae28b272f3785c1f881","1374675822707","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"59","0da95a8216a24ae28b272f3785c1f881","1374675826407","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"60","0da95a8216a24ae28b272f3785c1f881","1374675829058","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"61","0da95a8216a24ae28b272f3785c1f881","1374675832357","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"62","0da95a8216a24ae28b272f3785c1f881","1374675835607","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"63","0da95a8216a24ae28b272f3785c1f881","1374675838924","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"64","0da95a8216a24ae28b272f3785c1f881","1374675842024","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"65","0da95a8216a24ae28b272f3785c1f881","1374675844857","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"66","0da95a8216a24ae28b272f3785c1f881","1374675847791","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"67","0da95a8216a24ae28b272f3785c1f881","1374675850441","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
